"Population","Reference Type","Author","Publication Year","Title","From Year","To Year"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem Spring-run","Age Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1955","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem Spring-run","Catch Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Upper Grand Ronde","2006","2011"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem Spring-run","Catch Reference","U.S. v Oregon Technical Advisory Committee ","2009","2009 Joint Staff Report: Stock Status and Fisheries for Spring Chinook salmon, Summer Chinook salmon, Sockeye, Steelhead, and Other Species, and Miscellaneous Regulations","1955","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem Spring-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem Spring-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Upper Grand Ronde","2006","2011"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem Spring-run","Spawner Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1955","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem Spring-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem Spring-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Upper Grand Ronde","2006","2011"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem Spring-run","Wild-Fraction Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1955","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem Spring/Summer-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Imnaha River","2006","2011"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem Spring/Summer-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem Spring/Summer-run","Age Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1949","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem Spring/Summer-run","Catch Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Imnaha River","2006","2011"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem Spring/Summer-run","Catch Reference","U.S. v Oregon Technical Advisory Committee ","2009","2009 Joint Staff Report: Stock Status and Fisheries for Spring Chinook salmon, Summer Chinook salmon, Sockeye, Steelhead, and Other Species, and Miscellaneous Regulations","1949","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem Spring/Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Imnaha River","2006","2011"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem Spring/Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem Spring/Summer-run","Spawner Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1949","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem Spring/Summer-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Imnaha River","2006","2011"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem Spring/Summer-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem Spring/Summer-run","Wild-Fraction Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1949","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River Spring-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Lemhi","2004","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River Spring-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River Spring-run","Age Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2003"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River Spring-run","Catch Reference","U.S. v Oregon Technical Advisory Committee ","2009","2009 Joint Staff Report: Stock Status and Fisheries for Spring Chinook salmon, Summer Chinook salmon, Sockeye, Steelhead, and Other Species, and Miscellaneous Regulations","1957","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River Spring-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Lemhi","2004","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River Spring-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River Spring-run","Spawner Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2003"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River Spring-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Lemhi","2004","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River Spring-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River Spring-run","Wild-Fraction Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2003"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek Spring/Summer-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Loon Creek","2005","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek Spring/Summer-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek Spring/Summer-run","Age Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2004"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek Spring/Summer-run","Catch Reference","U.S. v Oregon Technical Advisory Committee ","2009","2009 Joint Staff Report: Stock Status and Fisheries for Spring Chinook salmon, Summer Chinook salmon, Sockeye, Steelhead, and Other Species, and Miscellaneous Regulations","1957","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek Spring/Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Loon Creek","2005","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek Spring/Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek Spring/Summer-run","Spawner Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2004"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek Spring/Summer-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Loon Creek","2005","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek Spring/Summer-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek Spring/Summer-run","Wild-Fraction Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2004"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek Spring-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Marsh Cr.","2004","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek Spring-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek Spring-run","Age Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2003"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek Spring-run","Catch Reference","U.S. v Oregon Technical Advisory Committee ","2009","2009 Joint Staff Report: Stock Status and Fisheries for Spring Chinook salmon, Summer Chinook salmon, Sockeye, Steelhead, and Other Species, and Miscellaneous Regulations","1957","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek Spring-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Marsh Cr.","2004","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek Spring-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek Spring-run","Spawner Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2003"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek Spring-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Marsh Cr.","2004","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek Spring-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek Spring-run","Wild-Fraction Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2003"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River Lower Mainstem Spring/Summer-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River Lower Mainstem Spring/Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River Lower Mainstem Spring/Summer-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River Upper Mainstem Spring-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River Upper Mainstem Spring-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River Upper Mainstem Spring-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River Spring-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Minam River","2006","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River Spring-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River Spring-run","Age Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1954","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River Spring-run","Catch Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Minam River","2006","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River Spring-run","Catch Reference","U.S. v Oregon Technical Advisory Committee ","2009","2009 Joint Staff Report: Stock Status and Fisheries for Spring Chinook salmon, Summer Chinook salmon, Sockeye, Steelhead, and Other Species, and Miscellaneous Regulations","1954","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River Spring-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Minam River","2006","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River Spring-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River Spring-run","Spawner Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1954","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River Spring-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Minam River","2006","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River Spring-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River Spring-run","Wild-Fraction Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1954","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River Summer-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River Summer-run","Age Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1980","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River Summer-run","Age Reference","NMFS","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Pahsimeroi River","2006","2011"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River Summer-run","Catch Reference","U.S. v Oregon Technical Advisory Committee ","2009","2009 Joint Staff Report: Stock Status and Fisheries for Spring Chinook salmon, Summer Chinook salmon, Sockeye, Steelhead, and Other Species, and Miscellaneous Regulations","1980","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2009","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Pahsimeroi R.  Sept 2009","2006","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River Summer-run","Spawner Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1980","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River Summer-run","Spawner Reference","NMFS","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Pahsimeroi River","2006","2011"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River Summer-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River Summer-run","Wild-Fraction Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1980","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River Summer-run","Wild-Fraction Reference","NMFS","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Pahsimeroi River","2006","2011"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Lower Mainstem Spring/Summer-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Lower Mainstem Spring/Summer-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries.","2012","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -2012  Sept 2009","2006","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Lower Mainstem Spring/Summer-run","Age Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Lower Mainstem Spring/Summer-run","Catch Reference","U.S. v Oregon Technical Advisory Committee ","2009","2009 Joint Staff Report: Stock Status and Fisheries for Spring Chinook salmon, Summer Chinook salmon, Sockeye, Steelhead, and Other Species, and Miscellaneous Regulations","1957","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Lower Mainstem Spring/Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Lower Salmon mainstem","2006","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Lower Mainstem Spring/Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
