"Interrogation Site Code","Interrogation Site Name","Int Site Start Date","Int Site End Date","Int Site Active","Site Type Name","Interrogation Site Subbasin Code","Interrogation Site Subbasin Name","Interrogation Site Location Start","Interrogation Site Location End","Interrogation Site Location Latitude","Interrogation Site Location Longitude","Interrogation Site Location RKM","Data Steward Name","Steward Email","Steward Phone","Steward Organization","New Metric"
"CWP","Chewuch Acclimation Pond","4/16/2015","","1","Monitored Fish Release","17020008","Methow","4/16/2015","","48.565110","-120.176618","843.080.010","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","1"
"CZY","Crazyman Creek at 0.6 km","11/8/2013","","1","Instream Remote Detection System","17060102","Imnaha","11/8/2013","","45.229300","-116.844780","522.308.080.001","Neal Espinosa","neale@nezperce.org","541-432-2502","NPT","1"
"DBH","Buck Hollow Ck Deschutes Trib","4/2/2012","","1","Instream Remote Detection System","17070306","Lower Deschutes","4/2/2012","","45.262308","-121.023275","328.069.001","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"DBO","Bakeoven Ck Deschutes Trib","4/5/2012","","1","Instream Remote Detection System","17070306","Lower Deschutes","4/5/2012","","45.172741","-121.072549","328.083.001","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"DRM","Deschutes River mouth","3/13/2013","8/9/2019","0","Instream Remote Detection System","17070306","Lower Deschutes","3/13/2013","8/9/2019","45.631808","-120.912483","328.001","Lyman Jim","lyman.jim@ctwsbnr.org","541-553-3587","CTWSR","1"
"DRP","Dryden Acc. Pond","1/1/1994","","1","Monitored Fish Release","17020011","Wenatchee","1/1/1994","","47.544659","-120.563573","754.026","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"DSF","Deschutes Sherars Falls","10/27/2016","","1","Adult Fishway","17070306","Lower Deschutes","10/27/2016","","45.256897","-121.039616","328.071","Lyman Jim","lyman.jim@ctwsbnr.org","541-553-3587","CTWSR","1"
"DWL","Dworshak NFH adult trap","2/1/2010","","1","Hatchery Returns","17060308","Lower North Fork Clearwater","2/1/2010","","46.502652","-116.324263","522.224.065","Frank Mullins","frank_mullins@fws.gov","","USFWS","1"
"DXP","Dexter Ponds Fish Ladder","5/24/2017","4/3/2019","0","Adult Fishway","17090001","Middle Fork Willamette","5/24/2017","4/3/2019","43.924970","-122.807408","163.301.027","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"EBO","East Bank Hatchery Outfall","6/7/2013","","1","Hatchery Returns","17020010","Upper Columbia-Entiat","6/7/2013","","47.534397","-120.290826","764","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"ECH","Eagle Creek Hatchery Ladder","7/1/2011","3/30/2015","0","Hatchery Returns","17090011","Clackamas","7/1/2011","3/30/2015","45.275945","-122.204011","163.040.026.020","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","1"
"ECL","Eagle Creek Lower Fish Ladder","7/1/2011","5/13/2015","0","Instream Remote Detection System","17090011","Clackamas","7/1/2011","5/13/2015","45.323846","-122.299029","163.040.026.010","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","1"
"EFD","East Fork Diversion Fishway","3/9/2016","","1","Adult Fishway","17070105","Middle Columbia-Hood","3/9/2016","","45.509403","-121.564780","273.023.011","Ryan Gerstenberger","ryan.gerstenberger@ctwsbnr.org","541-352-9326","CTWSR","1"
"EHL","Entiat NFH Adult Ladder","7/3/2013","","1","Hatchery Returns","17020010","Upper Columbia-Entiat","7/3/2013","","47.697360","-120.323100","778.011","Matt Cooper","Matt_cooper@fws.gov","509-548-7573","USFWS","1"
"EMC","Eightmile Creek, Methow River","12/1/2008","5/17/2011","0","Instream Remote Detection System","17020008","Methow","12/1/2008","5/17/2011","48.604816","-120.168271","843.080.018.001","Kyle Martens","Kyle.Martens@dnr.wa.gov","360-902-1272","WDNR","1"
"ENA","Upper Entiat River at rkm 17.1","4/6/2011","","1","Instream Remote Detection System","17020010","Upper Columbia-Entiat","4/6/2011","","47.736615","-120.362532","778.017","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"ENF","Upper Entiat River at rkm 40.6","8/10/2010","","1","Instream Remote Detection System","17020010","Upper Columbia-Entiat","8/10/2010","","47.901735","-120.466191","778.041","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"ENL","Lower Entiat River","10/1/2007","","1","Instream Remote Detection System","17020010","Upper Columbia-Entiat","10/1/2007","","47.663782","-120.242820","778.002","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"ENM","Middle Entiat River","3/1/2008","10/31/2018","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/1/2008","10/31/2018","47.797049","-120.403073","778.026","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"ENS","Upper Entiat River at rkm 35.7","5/5/2011","8/20/2019","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","5/5/2011","8/20/2019","47.856847","-120.422479","778.036","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"EPR","East Fork Potlatch Array","10/25/2019","","1","Instream Remote Detection System","17060306","Clearwater","10/25/2019","","46.795091","-116.410880","522.224.024.065.003","Brian Knoth","Brian.Knoth@idfg.idaho.gov","208-750-4230","IDFG","1"
"ESJ","Easton Acc. Pond","3/14/1999","","1","Monitored Fish Release","17030001","Upper Yakima","3/14/1999","","47.236201","-121.168441","539.325","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"ESS","EFSF Salmon River at Parks Cr.","3/1/2009","","1","Instream Remote Detection System","17060208","South Fork Salmon","3/1/2009","","44.956205","-115.533150","522.303.215.060.021","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"ESX","Estuary Saltwater Experiment","3/1/2003","6/9/2005","0","Trawl Net","17080006","Lower Columbia","3/1/2003","6/9/2005","46.211555","-123.963177","","Richard Ledgerwood","dick.ledgerwood@gmail.com","503-791-4850","NMFS","1"
"EVL","Eagle Valley Ranch - Lower","8/5/2019","","1","Instream Remote Detection System","17060204","Lemhi","8/5/2019","","45.115074","-113.774021","522.303.416.016","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"EVU","Eagle Valley Ranch - Upper","7/18/2019","","1","Instream Remote Detection System","17060204","Lemhi","7/18/2019","","45.100087","-113.726042","522.303.416.020","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"EWC","Early Winters Creek rkm 0.36","4/1/2013","9/6/2017","0","Instream Remote Detection System","17020008","Methow","4/1/2013","9/6/2017","48.599537","-120.442272","843.113.001","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"FDC","Feed Canal","12/5/2006","","1","Instream Remote Detection System","17070103","Umatilla","12/5/2006","","45.721488","-119.177031","465.047","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","1"
"FDD","Feed Diversion Dam","11/1/2008","","1","Instream Remote Detection System","17070103","Umatilla","11/1/2008","","45.720695","-119.176819","465.045","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","1"
"FID","Farmer's Diversion, Hood River","4/14/2022","","1","Instream Remote Detection System","17070105","Middle Columbia-Hood","4/14/2022","","45.615670","-121.622502","273.017","Ryan Gerstenberger","ryan.gerstenberger@ctwsbnr.org","541-352-9326","CTWSR","1"
"FOL","Foster Dam Ladder S Santiam R","5/11/2016","4/25/2019","0","Adult Fishway","17090006","South Santiam","5/11/2016","4/25/2019","44.414500","-122.673703","163.174.019.060","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"FOS","Foster Dam Weir","5/15/2014","1/31/2018","0","Instream Remote Detection System","17090006","South Santiam","5/15/2014","1/31/2018","44.414939","-122.670262","163.174.019.060","Fred Monzyk","fred.monzyk@oregonstate.edu","541-757-5119","ODFW","1"
"FST","Foster Creek","3/1/2014","","1","Instream Remote Detection System","17020005","Chief Joseph","3/1/2014","","47.996326","-119.646768","868.001","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","1"
"GCM","Grouse Creek Mouth","3/18/2020","","1","Instream Remote Detection System","17060102","Imnaha","3/18/2020","","45.328017","-116.806641","522.308.066.000","Jim Harbeck","jimh@nezperce.org","541-432-2501","NPT","1"
"GL2","SF Gold Creek, Methow River","1/1/2009","10/9/2010","0","Instream Remote Detection System","17020008","Methow","1/1/2009","10/9/2010","48.161596","-120.141450","843.035.002.004","Kyle Martens","Kyle.Martens@dnr.wa.gov","360-902-1272","WDNR","1"
"GLC","Gold Creek, Methow River","1/1/2009","","1","Instream Remote Detection System","17020008","Methow","1/1/2009","","48.188368","-120.097128","843.035.001","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","1"
"GOA","Little Goose Fish Ladder","3/28/2014","","1","Adult Fishway","17060107","Lower Snake-Tucannon","3/28/2014","","46.582668","-118.027794","522.113","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"GOJ","Little Goose Dam Juvenile","1/1/1986","","1","Juvenile Fish Bypass Facility","17060107","Lower Snake-Tucannon","1/1/1986","","46.582381","-118.031607","522.113","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"GRA","Lower Granite Dam Adult","1/1/1987","","1","Adult Fishway","17060107","Lower Snake-Tucannon","1/1/1987","","46.657760","-117.433225","522.173","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"GRJ","Lower Granite Dam Juvenile","3/25/1988","","1","Juvenile Fish Bypass Facility","17060107","Lower Snake-Tucannon","3/25/1988","","46.660394","-117.436261","522.173","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"GRP","Grande Ronde Acc. Pond","2/1/2002","4/16/2013","0","Monitored Fish Release","17060104","Upper Grande Ronde","2/1/2002","4/16/2013","45.079276","-118.331479","522.271.320","Mike McLean","MikeMcLean@ctuir.org","541-429-7960","CTUIR","1"
"GRS","Lower Granite Dam Spillway","12/18/2019","","1","Spillway","17060107","Lower Snake-Tucannon","12/18/2019","","46.658972","-117.430058","522.173","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"GRX","LOWER GRANITE EXPERIMENTAL","4/1/1995","9/2/1999","0","Juvenile Fish Bypass Facility","17060107","Lower Snake-Tucannon","4/1/1995","9/2/1999","46.660255","-117.436044","522.173","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"GWP","Goat Wall Acclimation Pond","3/30/2017","","1","Monitored Fish Release","17020008","Methow","3/30/2017","","48.632780","-120.469342","843.116","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","1"
"HEC","Hawley Cr/18 Mile Cr Array","10/12/2013","12/12/2015","0","Instream Remote Detection System","17060204","Lemhi","10/12/2013","12/12/2015","44.668594","-113.311550","522.303.416.092.004.001","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"HLM","Potlatch River near Helmer","9/1/2009","5/22/2015","0","Instream Remote Detection System","17060306","Clearwater","9/1/2009","5/22/2015","46.799006","-116.428412","522.224.024.066","Brian Knoth","Brian.Knoth@idfg.idaho.gov","208-750-4230","IDFG","1"
"HLX","Hemlock Dam Fish Ladder Exp.","7/12/2004","7/1/2009","0","Instream Remote Detection System","17070105","Middle Columbia-Hood","7/12/2004","7/1/2009","45.802154","-121.932144","251.017.002","Ian Jezorek","ijezorek@usgs.gov","509-528-2908","USGS","1"
"HN1","Top of Harrison side channel","3/27/2013","12/29/2016","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/27/2013","12/29/2016","47.669771","-120.294569","778.006","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","1"
"HN2","Middle Harrison Side Channel","4/2/2013","4/22/2017","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","4/2/2013","4/22/2017","47.670440","-120.291200","778.006","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","1"
"HN3","Bottom Harrison Side Channel","3/27/2013","4/22/2017","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/27/2013","4/22/2017","47.670610","-120.289900","778.006","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","1"
"HRM","Hood River Mouth","1/9/2012","","1","Instream Remote Detection System","17070105","Middle Columbia-Hood","1/9/2012","","45.713986","-121.508462","273.000","Ryan Gerstenberger","ryan.gerstenberger@ctwsbnr.org","541-352-9326","CTWSR","1"
"HS1","Top of side channel near ENFH","7/11/2015","12/15/2016","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","7/11/2015","12/15/2016","47.698440","-120.321230","778.011","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","1"
"HS2","Bottom side channel near ENFH","7/11/2015","12/16/2016","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","7/11/2015","12/16/2016","47.697967","-120.322040","778.011","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","1"
"HSL","Hancock Springs Lower","4/17/2013","1/6/2016","0","Instream Remote Detection System","17020008","Methow","4/17/2013","1/6/2016","48.531648","-120.324021","843.097.001","John Jorgensen","jorj@yakamafish-nsn.gov","509-670-7298","YINN","1"
"HSM","Hancock Springs Middle","4/17/2013","1/4/2016","0","Instream Remote Detection System","17020008","Methow","4/17/2013","1/4/2016","48.533953","-120.330800","843.097.001","John Jorgensen","jorj@yakamafish-nsn.gov","509-670-7298","YINN","1"
"HST","Touchet River at Harvey Shaw","9/1/2015","","1","Instream Remote Detection System","17070102","Walla Walla","9/1/2015","","46.287439","-118.488939","509.035.050","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","1"
"HSU","Hancock Springs Upper","4/17/2013","1/6/2016","0","Instream Remote Detection System","17020008","Methow","4/17/2013","1/6/2016","48.534604","-120.333895","843.097.001","John Jorgensen","jorj@yakamafish-nsn.gov","509-670-7298","YINN","1"
"HYC","Hayden Creek In-stream Array","8/1/2009","","1","Instream Remote Detection System","17060204","Lemhi","8/1/2009","","44.861654","-113.631937","522.303.416.049.001","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"ICH","Ice Harbor Dam (Combined)","4/8/2005","","1","Combined Dam Location","17060110","Lower Snake","4/8/2005","","46.249527","-118.879964","522.016","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"ICL","Lower Icicle Instream Array","9/8/2011","","1","Instream Remote Detection System","17020011","Wenatchee","9/8/2011","","47.578648","-120.662589","754.041.000","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"ICM","Middle Icicle Instream Array","4/1/2015","","1","Instream Remote Detection System","17020011","Wenatchee","4/1/2015","","47.549657","-120.679710","754.041.007","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"ICU","Upper Icicle Instream Array","10/14/2014","","1","Instream Remote Detection System","17020011","Wenatchee","10/14/2014","","47.543481","-120.714954","754.041.010","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"IHA","Ice Harbor Adult","3/1/2003","4/8/2005","0","Adult Fishway","17060110","Lower Snake","3/1/2003","4/8/2005","46.249527","-118.879964","522.016","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"IMJ","Imnaha River Trap","4/12/1994","4/20/1999","0","Instream Juvenile Fish Trap","17060102","Imnaha","4/12/1994","4/20/1999","45.763700","-116.748000","522.308.007","Unknown Contact","","","","1"
"IML","Imnaha River Weir Adult Ladder","5/18/2015","","1","Adult Fishway","17060102","Imnaha","5/18/2015","","45.194276","-116.868663","522.308.084","Joseph Feldhaus","joseph.feldhaus@odfw.oregon.gov","541-962-3724","ODFW","1"
"IR1","Lower Imnaha River ISA @ km 7","12/1/2010","","1","Instream Remote Detection System","17060102","Imnaha","12/1/2010","","45.761052","-116.750231","522.308.007","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"IR2","Lower Imnaha River ISA @ km 10","11/1/2010","","1","Instream Remote Detection System","17060102","Imnaha","11/1/2010","","45.742702","-116.764304","522.308.010","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"IR3","Upper Imnaha River ISA @ km 41","2/1/2011","","1","Instream Remote Detection System","17060102","Imnaha","2/1/2011","","45.489957","-116.804096","522.308.041","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"IR4","Imnaha Weir Downstream Array","8/18/2016","","1","Instream Remote Detection System","17060102","Imnaha","8/18/2016","","45.194460","-116.868774","522.308.084","Joseph Feldhaus","joseph.feldhaus@odfw.oregon.gov","541-962-3724","ODFW","1"
"IR5","Imnaha Weir Upstream Array","8/18/2016","","1","Instream Remote Detection System","17060102","Imnaha","8/18/2016","","45.193188","-116.868593","522.308.084","Joseph Feldhaus","joseph.feldhaus@odfw.oregon.gov","541-962-3724","ODFW","1"
"JA1","Jacks Creek Seasonal IPTDS","1/1/2021","","1","Instream Remote Detection System","17060306","Clearwater","1/1/2021","","46.503864","-116.549759","522.224.047.001","Peter Cleary","peterc@nezperce.org","208-476-4920 x3572","NPT","1"
"JCJ","Jack Creek Acc. Pond","2/18/2000","","1","Monitored Fish Release","17030001","Upper Yakima","2/18/2000","","47.324642","-120.854193","539.284.017.009","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"JD1","John Day River, McDonald Ferry","9/1/2007","","1","Instream Remote Detection System","17070204","Lower John Day","9/1/2007","","45.595740","-120.410928","351.032","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"JDC","Cottonwood Creek, NF John Day","9/7/2018","","1","Instream Remote Detection System","17070202","North Fork John Day","9/7/2018","","44.811143","-119.419560","351.298.025.001","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"JDJ","John Day Dam Juvenile","1/1/1992","","1","Juvenile Fish Bypass Facility","17070105","Middle Columbia-Hood","1/1/1992","","45.710014","-120.692581","347","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"JDM","Upper John Day River Array","12/14/2015","","1","Instream Remote Detection System","17070201","Upper John Day","12/14/2015","","44.458194","-119.431056","351.347","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"JO1","John Day South Fish Ladder","2/27/2017","","1","Adult Fishway","17070105","Middle Columbia-Hood","2/27/2017","","45.711138","-120.689427","347","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"JO2","John Day North Fish Ladder","2/27/2017","","1","Adult Fishway","17070105","Middle Columbia-Hood","2/27/2017","","45.718658","-120.697771","347","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"JOC","Joseph Creek ISA @ km 3","10/1/2010","","1","Instream Remote Detection System","17060106","Lower Grande Ronde","10/1/2010","","46.030237","-117.016408","522.271.007.003","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"JOH","Johnson Creek","3/1/2014","","1","Instream Remote Detection System","17020006","Okanogan","3/1/2014","12/20/2018","48.501091","-119.506347","858.066.001","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","1"
"JOH","Johnson Creek","3/1/2014","","1","Instream Remote Detection System","17020006","Okanogan","12/20/2018","","48.502035","-119.504815","858.066.001","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","1"
"JPT","Juvenile Pond Touchet","7/12/2016","","1","Instream Remote Detection System","17070102","Walla Walla","7/12/2016","8/2/2021","46.312881","-117.973529","509.035.087","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","1"
"JPT","Juvenile Pond Touchet","7/12/2016","","1","Instream Remote Detection System","17070102","Walla Walla","8/2/2021","","46.313717","-117.975088","509.035.087","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","1"
"JUL","Potlatch River near Juliaetta","10/2/2008","5/22/2013","0","Instream Remote Detection System","17060306","Clearwater","10/2/2008","5/22/2013","46.565323","-116.709318","522.224.024.014","Brian Knoth","Brian.Knoth@idfg.idaho.gov","208-750-4230","IDFG","1"
"KCB","Kiwanis Camp Bridge, Mill C","4/16/2005","4/1/2011","0","Instream Remote Detection System","17070102","Walla Walla","4/16/2005","4/1/2011","45.998915","-118.113805","509.054.035","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","1"
"KEN","Kenney Creek In-stream Arrays","6/1/2010","","1","Instream Remote Detection System","17060204","Lemhi","6/1/2010","9/3/2015","45.027030","-113.658010","522.303.416.029.000","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"KEN","Kenney Creek In-stream Arrays","6/1/2010","","1","Instream Remote Detection System","17060204","Lemhi","9/3/2015","6/29/2018","45.027108","-113.654018","522.303.416.029.000","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"KEN","Kenney Creek In-stream Arrays","6/1/2010","","1","Instream Remote Detection System","17060204","Lemhi","6/29/2018","","45.026792","-113.654847","522.303.416.029.000","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"KHS","Big Bear Cr. @ Kendrick HS","12/1/2007","","1","Instream Remote Detection System","17060306","Clearwater","12/1/2007","","46.619115","-116.646846","522.224.024.023.000","Brian Knoth","Brian.Knoth@idfg.idaho.gov","208-750-4230","IDFG","1"
"KLR","Klickitat Riv. Floating Array","4/17/2017","","1","Instream Remote Detection System","17070106","Klickitat","4/17/2017","","45.720309","-121.255137","290.005","Mike Babcock","mbabcock@ykfp.org","509-369-3271","YINN","1"
"KRS","SF Salmon River at Krassel Cr.","1/22/2008","","1","Instream Remote Detection System","17060208","South Fork Salmon","1/22/2008","","44.978472","-115.726994","522.303.215.065","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"LAP","Lapwai Creek, near its mouth","10/1/2008","","1","Instream Remote Detection System","17060306","Clearwater","10/1/2008","","46.443273","-116.812535","522.224.019.001","","","","","1"
"LB8","Big Eightmile Creek","7/6/2015","3/21/2018","0","Instream Remote Detection System","17060204","Lemhi","7/6/2015","3/21/2018","44.738218","-113.462458","522.303.416.073.001","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"LBC","Libby Creek, Methow River","1/1/2009","","1","Instream Remote Detection System","17020008","Methow","1/1/2009","","48.230250","-120.117672","843.042.001","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","1"
"LBS","Big Springs Creek","4/1/2014","","1","Instream Remote Detection System","17060204","Lemhi","4/1/2014","","44.727349","-113.433214","522.303.416.077.001","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"LBT","Little Bridge Creek (Twisp R.)","6/1/2012","6/9/2015","0","Instream Remote Detection System","17020008","Methow","6/1/2012","6/9/2015","48.380750","-120.286700","843.066.014.001","Keely Murdoch","murk@yakamafish-nsn.gov","509-548-2206","YINN","1"
"LC1","Lower Lolo Creek at rkm 21","11/1/2011","","1","Instream Remote Detection System","17060306","Clearwater","11/1/2011","","46.294360","-115.976160","522.224.087.021","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"LC2","Upper Lolo Creek at rkm 25","11/1/2011","","1","Instream Remote Detection System","17060306","Clearwater","11/1/2011","","46.290498","-115.933747","522.224.087.025","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"LCL","Lee Creek, Lemhi R. Basin","12/21/2013","4/11/2018","0","Instream Remote Detection System","17060204","Lemhi","12/21/2013","4/11/2018","44.747074","-113.474641","522.303.416.079.001","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"LD1","Lebanon Dam South Ladder","5/27/2015","11/15/2018","0","Adult Fishway","17090006","South Santiam","5/27/2015","11/15/2018","44.516100","-122.862744","163.174.019.032","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"LD2","Lebanon Dam North Ladder","4/16/2015","12/16/2018","0","Adult Fishway","17090006","South Santiam","4/16/2015","12/16/2018","44.517113","-122.862786","163.174.019.032","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"LD3","Lebanon Dam Diversion Bypass","4/30/2015","11/15/2018","0","Juvenile Fish Bypass Facility","17090006","South Santiam","4/30/2015","11/15/2018","44.515356","-122.862182","163.174.019.032","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"LD4","Lebanon Dam Spillway","10/1/2015","11/13/2018","0","Juvenile Fish Bypass Facility","17090006","South Santiam","10/1/2015","11/13/2018","44.516647","-122.862835","163.174.019.032","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"LEA","Leaburg Dam Combined Fishways","12/1/2009","9/5/2018","0","Combined Dam Location","17090004","Mckenzie","12/1/2009","9/5/2018","44.136842","-122.612390","163.282.056.000","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"LEL","Leaburg Dam Fish Ladders","4/27/2018","7/8/2019","0","Adult Fishway","17090004","Mckenzie","4/27/2018","7/8/2019","44.137651","-122.612041","163.282.056","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"LFF","Lyle Falls Fishway","8/17/2011","","1","Adult Fishway","17070106","Klickitat","8/17/2011","","45.716414","-121.259747","290.004","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"LHC","Leavenworth NFH Coho Releases","4/16/2011","","1","Monitored Fish Release","17020011","Wenatchee","4/16/2011","","47.558898","-120.674835","754.041.005","Cory Kamphaus","kamc@yakamafish-nsn.gov","509-548-9413","YINN","1"
"LKR","Little Klickitat River Array","1/24/2017","","1","Instream Remote Detection System","17070106","Klickitat","1/24/2017","","45.844255","-121.059839","290.033.001","Mike Babcock","mbabcock@ykfp.org","509-369-3271","YINN","1"
"LLC","Loup Loup Creek Instream Array","3/7/2013","","1","Instream Remote Detection System","17020006","Okanogan","3/7/2013","","48.283501","-119.708240","858.028.001","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","1"
"LLR","Lower Lemhi River","8/1/2009","","1","Instream Remote Detection System","17060204","Lemhi","8/1/2009","","45.176475","-113.885278","522.303.416.001","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"LLS","Lemhi Little Springs Instream","6/14/2011","","1","Instream Remote Detection System","17060204","Lemhi","6/14/2011","","44.780552","-113.545027","522.303.416.066.000","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"LMA","Lower Monumental Adult Ladders","1/30/2014","","1","Adult Fishway","17060110","Lower Snake","1/30/2014","","46.562564","-118.538249","522.067","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"LMC","Lower Manastash Creek","12/16/2013","","1","Instream Remote Detection System","17030001","Upper Yakima","12/16/2013","","46.988614","-120.602197","539.253.002","Zack Mays","zack_mays@yakama.com","","YINN","1"
"LMJ","Lower Monumental Dam Juvenile","4/25/1993","","1","Juvenile Fish Bypass Facility","17060110","Lower Snake","4/25/1993","","46.562954","-118.543164","522.067","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"LMR","Lower Methow River at Pateros","3/1/2009","","1","Instream Remote Detection System","17020008","Methow","3/1/2009","8/18/2017","48.054608","-119.928121","843.003","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","1"
